File,Schema Path,Type,Priority,Has Properties,Properties Count,Has Composition,Has Additional Properties,Additional Properties Value,Recommendation,Reason,Operations Count,Operation IDs,Request Contexts
client_rest.yaml,components.schemas.SearchAgentsRequest,Closed Request Object,MEDIUM,Yes,1,No,No,,Add additionalProperties: false,Object has 1 defined properties,1,searchAgents,requestBody
client_rest.yaml,components.schemas.AgentRunCreate,Closed Request Object,MEDIUM,Yes,3,No,No,,Add additionalProperties: false,Object has 3 defined properties,2,createAndStreamRun; createAndWaitRun,requestBody
client_rest.yaml,components.schemas.GetDocPermissionsRequest,Closed Request Object,MEDIUM,Yes,1,No,No,,Add additionalProperties: false,Object has 1 defined properties,1,getdocpermissions,requestBody
client_rest.yaml,components.schemas.AutocompleteRequest,Closed Request Object,MEDIUM,Yes,8,No,No,,Add additionalProperties: false,Object has 8 defined properties,1,autocomplete,requestBody
client_rest.yaml,components.schemas.ListEntitiesRequest,Closed Request Object,MEDIUM,Yes,9,No,No,,Add additionalProperties: false,Object has 9 defined properties,1,listentities,requestBody
client_rest.yaml,components.schemas.PeopleRequest,Closed Request Object,MEDIUM,Yes,6,No,No,,Add additionalProperties: false,Object has 6 defined properties,1,people,requestBody
client_rest.yaml,components.schemas.ToolsCallRequest,Closed Request Object,MEDIUM,Yes,2,No,No,,Add additionalProperties: false,Object has 2 defined properties,1,POST /rest/api/v1/tools/call,requestBody
indexing.yaml,components.schemas.IndexDocumentRequest,Closed Request Object,MEDIUM,Yes,2,No,No,,Add additionalProperties: false,Object has 2 defined properties,1,POST /api/index/v1/indexdocument,requestBody
indexing.yaml,components.schemas.IndexDocumentsRequest,Closed Request Object,MEDIUM,Yes,3,No,No,,Add additionalProperties: false,Object has 3 defined properties,1,POST /api/index/v1/indexdocuments,requestBody
indexing.yaml,components.schemas.UpdatePermissionsRequest,Closed Request Object,MEDIUM,Yes,5,No,No,,Add additionalProperties: false,Object has 5 defined properties,1,POST /api/index/v1/updatepermissions,requestBody
indexing.yaml,components.schemas.GetDocumentCountRequest,Closed Request Object,MEDIUM,Yes,1,No,No,,Add additionalProperties: false,Object has 1 defined properties,1,POST /api/index/v1/getdocumentcount,requestBody
